S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
308,3*3,RA1144,PATANJALI,62,"1,104.20","1,278.20",,02-05-22,06-09-22
309,3*3,UT0149,PATANJALI,55,"1,062.20","1,295.52",,04-05-22,05-09-22
310,3*3,RA1144,PATANJALI,16,"1,062.20","1,278.20",,04-05-22,06-09-22
311,3*3,RA1144,ADANIPORTS,138,808.2,"1,309.20",,06-05-22,06-03-24
312,3*3,A01144,ADANIPORTS,12,785.2,815.15,,10-05-22,06-09-22
313,3*3,A01144,PATANJALI,102,982.2,"1,284.90",,13-05-22,06-09-22
314,3*3,A01144,EVEXIA,"9,960",2.51,2.69,,18-05-22,26-04-23
315,3*3,A01144,RTNPOWER,"10,990",4.55,4.55,,18-05-22,06-09-22
316,3*3,A01144,EVEXIA,"9,960",2.51,2.69,,25-05-22,26-04-23
317,3*3,RA1144,JSWISPL,"2,865",25.3,29.78,,30-05-22,03-11-22
318,MISC,UT0149,TANLA,86,647.2,787.2,,29-07-22,04-08-22
319,MISC,RA1144,TANLA,175,642.2,787.2,,29-07-22,04-08-22
320,MISC,RA1144,KANSAINER,205,504.66,502.2,,03-08-22,16-08-22
321,MISC,RA1144,BAJAJHIND,"32,857",8.4,22.4,,17-08-22,23-08-23
322,MISC,RA1144,TV18BRDCST,"3,965",38.6,41.75,,18-08-22,05-09-22
323,MISC,UT0149,AWL,68,736.2,359.2,,19-08-22,06-03-24
324,MISC,UT0149,AWL,71,718.51,359.2,,22-08-22,06-03-24
325,3*3,RA1144,GEOJITFSL,"3,148",47.66,47.61,,01-09-22,02-01-23
326,3*3,UT0149,GEOJITFSL,267,46.65,80.1,,02-09-22,19-12-23
327,3*3,RA1144,JPPOWER,"22,673",8.12,80,,02-09-22,
328,MISC,RA1144,5PAISA,284,353.7,702,,05-09-22,10-01-24
329,3*3,RA1144,BIRLAMONEY,"4,951",61.63,68.55,,05-09-22,12-09-23
330,3*3,RA1144,JPPOWER,"22,600",8.9,80,,05-09-22,
331,3*3,RA1144,5PAISA,422,357.52,702,,06-09-22,10-01-24
332,MISC,RA1144,BERGEPAINT,153,657.2,650.25,,06-09-22,05-06-23
333,MISC,RA1144,DABUR,176,570.2,596.7,,06-09-22,29-11-22
334,MISC,UT0149,ICICIGI,17,"1,236.70","1,266.20",,06-09-22,07-09-22
335,MISC,RA1144,GILLETTE,19,"5,360.20","4,509.00",,06-09-22,05-06-23
336,MISC,RA1144,ICICIGI,80,"1,265.70","1,285.70",,06-09-22,04-01-23
337,3*3,RA1144,PNB,"3,138",35.8,53.3,,06-09-22,22-12-22
338,MISC,UT0149,WIPRO,50,401.6,402.55,,06-09-22,07-09-22
339,3*3,RA1144,5PAISA,"1,123",354.26,702,,07-09-22,10-01-24
340,3*3,RA1144,ASIANTILES,"1,456",68.8,621,,07-09-22,
341,MISC,RA1144,BAJAJ-AUTO,26,"3,829.85","3,889.20",,07-09-22,30-01-23
342,MISC,UT0149,DMART,2,"4,473.25","4,585.85",,07-09-22,04-10-22
343,3*3,RA1144,BIRLAMONEY,"6,407",61.87,68.55,,07-09-22,12-09-23
344,3*3,UT0149,5PAISA,706,355,701,,07-09-22,10-01-24
345,3*3,UT0149,PNB,"7,861",37.9,53.3,,07-09-22,22-12-22
346,MISC,UT0149,BAJAJ-AUTO,5,"3,831.00","3,782.70",,07-09-22,07-11-22
347,MISC,UT0149,MCDOWELL-N,25,803.62,817.95,,07-09-22,12-09-22
348,3*3,RA1144,PNB,"18,754",37.46,53.3,,07-09-22,22-12-22
349,3*3,RA1144,VAIBHAVGBL,526,381.7,"1,040.00",,07-09-22,
350,3*3,RA1144,ADANIPORTS,17,913.2,"1,309.20",,09-09-22,06-03-24
351,3*3,A01144,ADANIPORTS,209,912.7,"1,310.10",,09-09-22,06-03-24
352,3*3,UT0149,ADANIPORTS,11,913.2,"1,035.00",,09-09-22,20-12-23
353,MISC,RA1144,HCLTECH,105,950.43,977.7,,09-09-22,13-10-22
354,MISC,UT0149,WHIRLPOOL,11,"1,753.80","1,814.15",,09-09-22,13-09-22
355,MISC,UT0149,WIPRO,55,413.6,404.05,,14-09-22,05-06-23
356,MISC,UT0149,HCLTECH,22,932.3,955.55,,14-09-22,06-10-22
357,MISC,UT0149,INFY,13,"1,495.70","1,538.20",,14-09-22,31-10-22
358,MISC,UT0149,TCS,6,"3,127.15","3,192.40",,14-09-22,31-10-22
359,MISC,UT0149,DABUR,35,560.7,571,,15-09-22,22-09-22
360,MISC,UT0149,BAJAJ-AUTO,5,"3,765.00","3,782.70",,15-09-22,07-11-22
361,MISC,UT0149,HCLTECH,23,919.9,932.5,,15-09-22,30-09-22
362,MISC,UT0149,HDFCLIFE,36,569.2,579.5,,15-09-22,25-11-22
363,MISC,UT0149,INFY,13,"1,451.35","1,483.10",,15-09-22,14-10-22
364,3*3,RA1144,ADANIPORTS,72,937.2,"1,309.20",,16-09-22,06-03-24
365,MISC,UT0149,DABUR,36,553.4,564.35,,16-09-22,21-09-22
366,MISC,UT0149,GILLETTE,3,"5,315.70","5,423.50",,16-09-22,16-09-22
367,MISC,UT0149,KANSAINER,48,492.65,427.7,,16-09-22,05-06-23
368,MISC,UT0149,HDFCLIFE,36,551.55,572.3,,16-09-22,24-11-22
369,MISC,UT0149,ICICIGI,16,"1,222.50","1,236.50",,16-09-22,02-12-22
370,3*3,RA1144,JPPOWER,"3,941",8.2,80,,16-09-22,
371,MISC,UT0149,NAM-INDIA,69,291.26,314.5,,16-09-22,21-08-23
372,MISC,UT0149,TCS,7,"3,027.67","3,118.58",,16-09-22,06-10-22
373,MISC,UT0149,WIPRO,47,407.5,416.2,,16-09-22,11-10-22
374,3*3,RA1144,VAIBHAVGBL,275,363.7,"1,040.00",,16-09-22,
375,MISC,RA1144,ISEC,182,548.2,550.2,,19-09-22,07-11-22
376,3*3,RA1144,ADANIPORTS,164,978.2,"1,309.20",,20-09-22,06-03-24
377,MISC,UT0149,BRITANNIA,4,"3,644.20","3,736.75",,20-09-22,21-09-22
378,MISC,UT0149,BERGEPAINT,33,622.1,634.6,,21-09-22,22-09-22
379,MISC,UT0149,GILLETTE,4,"5,318.15","5,292.10",,21-09-22,11-07-23
380,MISC,UT0149,ISEC,37,534.7,544.7,,21-09-22,07-11-22
381,MISC,UT0149,KOTAKBANK,10,"1,909.00","1,904.95",,21-09-22,31-10-22
382,3*3,RA1144,PNB,"2,472",40.34,53.3,,21-09-22,22-12-22
383,MISC,UT0149,SHREECEM,1,"22,305.00","22,870.20",,21-09-22,01-11-22
384,MISC,UT0149,HDFCLIFE,37,541.4,554.2,,22-09-22,24-11-22
385,MISC,UT0149,WIPRO,51,397.65,408.6,,22-09-22,06-10-22
386,3*3,RA1144,ADANIPORTS,45,922.1,"1,309.20",,23-09-22,06-03-24
387,MISC,UT0149,DMART,3,"4,427.00","4,585.40",,23-09-22,04-10-22
388,MISC,UT0149,RELAXO,19,"1,055.20",899.5,,23-09-22,20-12-23
389,MISC,UT0149,WHIRLPOOL,12,"1,654.70","1,436.43",,23-09-22,05-06-23
390,MISC,UT0149,KOTAKBANK,11,"1,851.20","1,901.15",,23-09-22,21-10-22
391,3*3,RA1144,ADANIPORTS,175,877.2,"1,309.20",,26-09-22,06-03-24
392,MISC,UT0149,ICICIGI,17,"1,146.00","1,193.55",,26-09-22,30-11-22
393,3*3,RA1144,GEOJITFSL,"2,101",47.7,47.61,,27-09-22,02-01-23
394,MISC,UT0149,KOTAKBANK,11,"1,806.70","1,836.00",,27-09-22,06-10-22
395,MISC,UT0149,ISEC,38,516.2,544.7,,30-09-22,07-11-22
396,MISC,UT0149,DABUR,74,554.83,558.7,,06-10-22,01-11-22
397,MISC,UT0149,HINDUNILVR,8,"2,612.70","2,648.70",,06-10-22,21-10-22
398,MISC,UT0149,SHREECEM,1,"21,257.00","22,870.20",,06-10-22,01-11-22
399,MISC,UT0149,BERGEPAINT,33,607.2,617.2,,07-10-22,07-10-22
400,MISC,UT0149,INFY,14,"1,430.81","1,449.75",,10-10-22,10-10-22
401,MISC,UT0149,AMBUJACEM,41,502.43,514.7,,11-10-22,19-10-22
402,MISC,UT0149,UBL,12,"1,654.50","1,689.70",,11-10-22,19-10-22
403,3*3,UT0149,5PAISA,60,344.2,701,,14-10-22,10-01-24
404,3*3,RA1144,JSLHISAR,153,267.7,398,,19-10-22,15-12-22
405,3*3,UT0149,5PAISA,129,348.7,701,,20-10-22,10-01-24
406,GEM,RA1144,ASALCBR,7,475.95,399.87,,24-10-22,05-06-23
407,GEM,RA1144,GLOBUSSPR,7,810.7,875,,24-10-22,12-05-23
408,GEM,RA1144,PIXTRANS,7,880.2,900.05,,24-10-22,15-05-23
409,MISC,RA1144,INFY,64,"1,572.20","1,550.70",,09-12-22,23-01-23
410,MISC,RA1144,INFY,43,"1,488.70","1,550.70",,20-12-22,23-01-23
411,3*3,A01144,JPPOWER,10,6.9,6,,23-12-22,05-06-23
412,3*3,UT0149,JPPOWER,"13,119",7.35,13.9,,26-12-22,06-05-25
413,3*3,UT0149,JPPOWER,"15,000",7.35,20.9,,26-12-22,08-02-24
414,3*3,RA1144,JPPOWER,"2,45,167",7.34,80,,26-12-22,
415,MISC,A01144,SONACOMS,238,416.29,454.2,,27-12-22,10-01-23
416,3*3,UT0149,JPPOWER,"47,044",7.35,80,,27-12-22,
417,MISC,RA1144,SUPRIYA,421,238.2,251.5,,30-12-22,12-05-23
418,MISC,RA1144,GTPL,710,139.34,155.4,,04-01-23,24-08-23
419,MISC,RA1144,YESBANK,"7,265",18.2,17.9,,23-01-23,12-09-23
420,MISC,RA1144,YESBANK,"1,820",18.2,17.9,,24-01-23,12-09-23
421,MISC,RA1144,ADANIPORTS,128,630.2,"1,309.20",,30-01-23,06-03-24
422,MISC,RA1144,AMBUJACEM,56,356.7,392.25,,02-02-23,03-03-23
423,MISC,RA1144,GRAPHITE,250,292.4,332.25,,28-02-23,12-05-23
424,3*3,RA1144,GTLINFRA,"1,00,000",0.9,1.3,,28-02-23,15-09-23
425,3*3,UT0149,MASTEK,97,"1,667.11","1,750.70",,13-03-23,24-04-23
426,3*3,RA1144,DOLATALGO,"3,185",47.24,60.57,,14-03-23,04-11-23
427,MISC,RA1144,JINDALPOLY,180,557.7,583.5,,14-03-23,20-04-23
428,MISC,RA1144,SBICARD,137,731.85,741.33,,14-03-23,10-04-23
429,MISC,RA1144,SUNTV,457,438.09,445.4,,16-03-23,16-05-23
430,3*3,RA1144,BIRLAMONEY,"1,680",49.6,68.55,,20-03-23,12-09-23
431,MISC,RA1144,MISHTANN,"12,450",8.01,8.35,,20-03-23,30-05-23
432,MISC,RA1144,ADANIGREEN,455,879.92,939.5,,21-03-23,20-04-23
433,3*3,RA1144,YESBANK,"6,500",15.4,17.9,,21-03-23,12-09-23
434,MISC,RA1144,SBICARD,27,727,741.33,,22-03-23,10-04-23
435,3*3,RA1144,ATGL,200,982.05,964.43,,23-03-23,20-12-23
436,3*3,RA1144,VIKASLIFE,"54,000",3.7,6.1,,23-03-23,12-09-23
437,3*3,RA1144,BAJAJHIND,"7,650",13.1,22.4,,31-03-23,23-08-23
438,3*3,RA1144,COFFEEDAY,"6,902",29.04,32.5,,31-03-23,20-04-23
439,MISC,RA1144,MISHTANN,"13,025",7.69,8.35,,31-03-23,30-05-23
440,3*3,RA1144,UJJIVANSFB,"7,985",25.1,27.2,,31-03-23,20-04-23
441,MISC,RA1144,ASIANPAINT,35,"2,774.57","2,977.65",,10-04-23,04-05-23
442,MISC,RA1144,GICRE,"1,406",142.4,198.7,,10-04-23,21-07-23
443,3*3,RA1144,INDIGOPNTS,185,"1,079.70","1,434.67",,10-04-23,20-12-23
444,3*3,RA1144,INDIGOPNTS,22,"1,068.20","1,434.67",,11-04-23,20-12-23
445,3*3,UT0149,SAMMAANCAP,10,102.5,117.71,,12-04-23,06-05-25
446,MISC,UT0149,BANKINDIA,"1,237",80.85,90.45,,18-04-23,21-08-23
447,MISC,UT0149,UNIONBANK,"1,358",73.7,90.8,,18-04-23,25-08-23
448,MISC,RA1144,INFY,158,"1,261.40","1,419.20",,18-04-23,25-08-23
449,3*3,RA1144,SAMMAANCAP,966,103.64,187.2,,18-04-23,12-09-23
450,MISC,UT0149,PNB,"2,030",49.3,62.4,,18-04-23,21-08-23
451,MISC,RA1144,INFY,81,"1,240.70","1,419.20",,19-04-23,25-08-23
452,3*3,RA1144,INDIGOPNTS,328,"1,151.68","1,434.67",,20-04-23,20-12-23
453,3*3,RA1144,LUXIND,217,"1,388.35","1,430.95",,20-04-23,29-04-24
454,3*3,RA1144,HDFCAMC,114,"1,771.70","3,165.60",,21-04-23,20-12-23
455,3*3,RA1144,RELAXO,119,841.79,912.01,,21-04-23,30-06-23
456,3*3,RA1144,ADANIPORTS,28,664.5,"1,309.20",,24-04-23,06-03-24
457,3*3,UT0149,CUB,"1,500",133.4,162.95,,24-04-23,19-12-23
458,3*3,UT0149,VAIBHAVGBL,54,317.7,217.8,,24-04-23,06-05-25
459,3*3,RA1144,HDFCAMC,56,"1,782.50","3,165.60",,24-04-23,20-12-23
460,3*3,RA1144,ICICIGI,20,"1,068.00","1,337.70",,24-04-23,25-08-23
461,3*3,RA1144,INDIGOPNTS,216,"1,161.16","1,434.67",,24-04-23,20-12-23
462,3*3,RA1144,LUXIND,147,"1,347.70","1,430.95",,24-04-23,29-04-24
463,3*3,RA1144,NAM-INDIA,665,234.5,331.22,,24-04-23,12-09-23
464,3*3,RA1144,SHRIRAMFIN,72,"1,392.80","1,415.00",,24-04-23,05-06-23
465,3*3,UT0149,SIYSIL,492,479.43,536.95,,24-04-23,21-08-23
466,3*3,UT0149,UJJIVANSFB,"7,300",27.4,48.7,,24-04-23,14-08-23
467,MISC,RA1144,BAJFINANCE,49,"6,081.68","7,797.17",,26-04-23,04-07-23
468,MISC,UT0149,HDFCBANK,182,"1,646.85","1,668.20",,08-05-23,11-07-23
469,3*3,RA1144,INDIGOPNTS,40,"1,281.70","1,434.67",,09-05-23,20-12-23
470,3*3,RA1144,LUXIND,33,"1,525.20","1,430.95",,09-05-23,29-04-24
471,3*3,UT0149,PNBHOUSING,46,275,536.28,,10-05-23,05-06-23
472,3*3,RA1144,ICICIGI,161,"1,108.20","1,337.70",,11-05-23,25-08-23
473,3*3,RA1144,INDIGOPNTS,75,"1,294.20","1,434.67",,11-05-23,20-12-23
474,3*3,RA1144,LUXIND,166,"1,511.87","1,430.95",,11-05-23,29-04-24
475,3*3,RA1144,SURYODAY,"3,065",131.44,163.05,,17-05-23,12-09-23
476,3*3,RA1144,GLAND,563,889.82,"1,650.25",,22-05-23,12-09-23
477,3*3,RA1144,PNB,"3,968",50.45,73.7,,22-05-23,01-11-23
478,3*3,RA1144,ATGL,125,796.5,964.43,,24-05-23,20-12-23
479,3*3,RA1144,CDSL,194,"1,033.20","1,330.20",,15-06-23,12-09-23
480,3*3,RA1144,TIDEWATER,214,943,"1,162.77",,15-06-23,12-09-23
481,3*3,RA1144,TIDEWATER,101,990,"1,162.77",,16-06-23,12-09-23
482,MISC,RA1144,METROPOLIS,147,"1,362.70","1,483.10",,19-06-23,30-06-23
483,3*3,RA1144,PNB,"1,965",50.95,73.7,,22-06-23,01-11-23
484,3*3,UT0149,RAJESHEXPO,385,520.42,188.26,,23-08-23,06-05-25
485,3*3,UT0149,RAJESHEXPO,194,518,188.26,,24-08-23,06-05-25
486,3*3,UT0149,SBIN,523,574.1,641.05,,25-08-23,20-12-23
487,3*3,A01144,ANDHRAPAP,193,518.7,570.2,,06-09-23,12-09-23
488,3*3,A01144,SESHAPAPER,297,334.7,385.7,,06-09-23,12-09-23
489,3*3,A01144,LATENTVIEW,586,426.9,489.7,,13-09-23,01-12-23
490,3*3,A01144,RAJESHEXPO,483,516.2,"1,000.00",,14-09-23,
491,3*3,A01144,SBIN,827,605.2,642.2,,18-09-23,20-12-23
492,3*3,A01144,KOTAKBANK,277,"1,802.47","1,842.35",,18-09-23,20-12-23
493,3*3,A01144,SBIN,336,595.8,642.2,,03-10-23,20-12-23
494,3*3,A01144,KOTAKBANK,116,"1,727.70","1,842.35",,03-10-23,20-12-23
495,3*3,A01144,ARE&M,385,649.48,753.7,,04-10-23,06-12-23
496,3*3,A01144,EIHOTEL,"1,070",234.01,234.64,,04-10-23,15-11-23
497,3*3,A01144,GREAVESCOT,"1,120",134,137.2,,09-10-23,06-12-23
498,3*3,A01144,DHANBANK,"3,334",29.9,30.7,,09-10-23,15-11-23
499,3*3,A01144,EASEMYTRIP,"2,436",41.05,48.4,,10-10-23,15-01-24
500,3*3,A01144,DEEPAKFERT,235,633.2,670.28,,10-10-23,20-12-23
501,3*3,A01144,JKPAPER,"1,244",402.03,411.2,,11-10-23,24-01-24
502,3*3,A01144,JKPAPER,130,383.1,411.2,,27-10-23,24-01-24
503,3*3,A01144,EASEMYTRIP,"2,500",39.8,48.4,,27-10-23,15-01-24
504,3*3,RA1144,CDSL,150,"1,501.70","1,886.20",,01-11-23,06-12-23
505,3*3,RA1144,CDSL,136,"1,537.70","1,886.20",,02-11-23,06-12-23
506,3*3,RA1144,YESBANK,"13,200",18.3,19.7,,09-11-23,06-12-23
507,3*3,RA1144,AXISBANK,10,"1,028.90","1,119.20",,12-11-23,08-12-23
508,3*3,RA1144,GLAND,7,"1,645.00","1,830.00",,12-11-23,20-12-23
509,3*3,UT0149,SAMMAANCAP,123,172.35,117.71,,12-11-23,06-05-25
510,3*3,A01144,JIOFIN,904,221.5,237.2,,21-11-23,20-12-23
511,3*3,A01144,RAJESHEXPO,409,367.45,"1,000.00",,21-11-23,
512,3*3,RA1144,GLAND,50,"1,758.25","1,830.00",,24-11-23,20-12-23
513,3*3,RA1144,ATGL,340,584.85,964.43,,28-11-23,20-12-23
514,MISC,A01144,BAJAJFINSV,166,"1,692.30","1,700.20",,05-12-23,20-12-23
515,MISC,A01144,KOTAKBANK,54,"1,839.70","1,842.35",,12-12-23,20-12-23
516,MISC,A01144,KOTAKBANK,188,"1,861.10","1,842.35",,14-12-23,20-12-23
517,MISC,RA1144,BAJAJHIND,"13,715",29.17,35.76,,19-12-23,29-04-24
518,3*3,UT0149,BANDHANBNK,761,249.8,160.3,,19-12-23,06-05-25
519,MISC,RA1144,BAJAJHIND,"7,095",28.2,35.76,,21-12-23,29-04-24
520,MISC,RA1144,BAJAJHIND,"3,516",28.45,35.76,,22-12-23,29-04-24
521,MISC,RA1144,GLAND,156,"1,927.28","1,846.69",,22-12-23,03-06-24
522,MISC,A01144,BANKINDIA,450,112,113.05,,22-12-23,01-01-24
523,3*3,RA1144,JIOFIN,"1,050",238.3,340.5,,22-12-23,10-05-24
524,MISC,A01144,CUB,325,149.4,151.85,,26-12-23,01-01-24
525,MISC,RA1144,KOTAKBANK,399,"1,881.70","1,985.20",,26-12-23,13-03-25
526,MISC,RA1144,SBIN,"1,563",640.19,785.7,,26-12-23,07-03-24
527,MISC,A01144,BAJFINANCE,42,"7,248.20","7,511.00",,27-12-23,03-10-24
528,MISC,A01144,BANKBARODA,875,228.7,229.9,,27-12-23,15-01-24
529,MISC,RA1144,KOTAKBANK,133,"1,885.70","1,985.20",,27-12-23,13-03-25
530,MISC,RA1144,SAIL,"1,700",117.7,145.9,,27-12-23,07-02-24
531,3*3,A01144,RAJESHEXPO,133,376.3,"1,000.00",,01-01-24,
532,3*3,A01144,ABCAPITAL,"1,206",165.95,174.75,,02-01-24,06-03-24
533,3*3,RA1144,JIOFIN,"1,056",235.5,355.05,,02-01-24,27-06-24
534,3*3,RA1144,JIOFIN,6,235.5,340.5,,02-01-24,10-05-24
535,MISC,UT0149,DCBBANK,"3,372",148.4,148.2,,03-01-24,17-07-25
536,MISC,A01144,ATGL,273,"1,100.95","1,542.00",,03-01-24,
537,MISC,RA1144,HDFCBANK,301,"1,663.84","1,701.71",,15-01-24,28-06-24
538,MISC,A01144,ATGL,100,"1,001.70","1,542.00",,17-01-24,
539,MISC,RA1144,HDFCBANK,193,"1,569.66","1,701.71",,17-01-24,28-06-24
540,MISC,RA1144,KOTAKBANK,109,"1,811.70","1,985.20",,17-01-24,13-03-25
541,MISC,RA1144,UNIONBANK,"2,090",143.7,146.1,,20-01-24,07-02-24
542,MISC,RA1144,HDFCBANK,138,"1,447.70","1,701.71",,24-01-24,28-06-24
543,MISC,RA1144,ZEEL,"1,184",169.2,172.5,,24-01-24,31-01-24
544,AK47,A01144,WSTCSTPAPR,328,763.7,884,,29-01-24,
545,MISC,RA1144,JKPAPER,460,435.15,424.29,,29-01-24,10-06-24
546,MISC,UT0149,IBULPP,291,50,60.65,,02-02-24,10-05-24
547,MISC,RA1144,PAYTM,440,456.4,472.4,,06-02-24,15-07-24
548,3*3,RA1144,EASEMYTRIP,"11,398",26.33,105,,07-02-24,
549,3*3,RA1144,AAVAS,106,"1,416.05","1,565.60",,13-02-24,14-05-24
550,3*3,RA1144,AAVAS,104,"1,444.15","1,565.60",,14-02-24,14-05-24
551,MISC,RA1144,ZEEL,"1,165",172.1,161.44,,23-02-24,10-06-24
552,3*3,RA1144,IDFCFIRSTB,"1,234",81.1,82.65,,07-03-24,09-04-24
553,3*3,RA1144,AAVAS,145,"1,383.20","1,565.60",,14-03-24,14-05-24
554,3*3,RA1144,CDSL,116,"1,721.70","2,019.37",,14-03-24,10-05-24
555,3*3,RA1144,EASEMYTRIP,"9,064",22.08,105,,14-03-24,
556,3*3,RA1144,GLAND,115,"1,748.20","1,846.69",,14-03-24,03-06-24
557,3*3,RA1144,SURYODAY,"3,080",162.4,313,,14-03-24,
558,MISC,RA1144,5PAISA,596,507.14,517.36,,28-03-24,10-05-24
559,AK47,RA1144,BAJAJFINSV,182,"1,649.73","1,954.70",,28-03-24,03-10-24
560,MISC,RA1144,BAJFINANCE,54,"7,270.42","7,634.95",,28-03-24,03-10-24
561,3*3,RA1144,CDSL,177,"1,719.79","2,083.45",,28-03-24,10-06-24
562,3*3,RA1144,CDSL,114,"1,719.79","2,019.37",,28-03-24,10-05-24
563,A40,UT0149,ANGELONE,65,"3,090.50","2,332.98",,28-03-24,06-05-25
564,MISC,UT0149,INDUSINDBK,129,"1,550.09","1,514.20",,28-03-24,03-06-24
565,MISC,UT0149,BANKINDIA,"1,476",135.6,138.85,,28-03-24,10-05-24
566,MISC,UT0149,CRAFTSMAN,47,"4,367.66","4,315.20",,28-03-24,10-05-24
567,MISC,UT0149,KNRCON,802,249.42,246.9,,28-03-24,10-05-24
568,MISC,RA1144,INDUSINDBK,65,"1,551.15","1,513.20",,28-03-24,03-06-24
569,MISC,RA1144,KFINTECH,287,614.55,737.7,,28-03-24,29-05-24
570,MISC,RA1144,KFINTECH,202,614.55,751.48,,28-03-24,10-05-24
571,3*3,RA1144,CDSL,55,"1,826.11","2,083.45",,01-04-24,10-06-24
572,MISC,RA1144,ZEEL,692,144.6,161.44,,01-04-24,10-06-24
573,MISC,RA1144,KFINTECH,320,625.63,737.7,,02-04-24,29-05-24
574,MISC,RA1144,TANLA,315,938.15,923.91,,02-04-24,03-06-24
575,3*3,RA1144,SURYODAY,"1,050",189.6,313,,12-04-24,
576,MISC,RA1144,COFFEEDAY,"3,175",63,68.8,,15-04-24,18-04-24
577,3*3,RA1144,SURYODAY,518,193.5,313,,15-04-24,
578,MISC,RA1144,RPOWER,"7,450",27,41,,16-04-24,25-09-24
579,MISC,RA1144,COFFEEDAY,"3,095",65,26.72,,19-04-24,15-04-26
580,MISC,RA1144,JUSTDIAL,100,"1,054.30","1,103.50",,19-04-24,23-04-24
581,MISC,RA1144,BAJFINANCE,15,"6,735.00","7,634.95",,26-04-24,03-10-24
582,3*3,RA1144,ATULAUTO,"1,024",586.32,604.2,,02-05-24,06-05-24
583,3*3,RA1144,AXISBANK,443,"1,131.49","1,127.25",,07-05-24,10-05-24
584,MISC,RA1144,RELINFRA,596,168.1,172.33,,07-05-24,15-05-24
585,3*3,RA1144,YESBANK,"21,599",23.15,23.55,,08-05-24,03-06-24
586,MISC,RA1144,ASIANPAINT,35,"2,873.60","2,880.20",,13-05-24,22-05-24
587,MISC,RA1144,BAJAJHIND,"3,077",32.5,32.6,,14-05-24,03-06-24
588,MISC,RA1144,EQUITASBNK,"2,130",94.07,94.65,,14-05-24,15-05-24
589,3*3,RA1144,CDSL,140,"2,108.96","2,083.45",,15-05-24,10-06-24
590,3*3,RA1144,SURYODAY,"1,000",200.65,313,,15-05-24,
591,MISC,RA1144,BAJFINANCE,15,"6,698.45","7,634.95",,16-05-24,03-10-24
592,MISC,RA1144,KNRCON,661,303.11,328.52,,30-05-24,03-06-24
593,MISC,RA1144,ANGELONE,128,"2,338.84","2,603.51",,05-06-24,10-06-24
594,MISC,RA1144,BAJFINANCE,15,"6,718.80","7,634.95",,05-06-24,03-10-24
595,3*3,RA1144,CDSL,102,"1,966.70","2,083.45",,05-06-24,10-06-24
596,MISC,RA1144,COFFEEDAY,"2,825",52.7,26.72,,05-06-24,15-04-26
597,MISC,RA1144,JKPAPER,265,378.6,424.29,,05-06-24,10-06-24
598,MISC,RA1144,KNRCON,121,319.7,393.6,,05-06-24,07-06-24
599,MISC,RA1144,KNRCON,661,319.7,406,,05-06-24,06-06-24
600,MISC,RA1144,ADANIPOWER,655,153.03,171,,07-06-24,23-09-25
601,MIM1,RA1144,BSE,111,895.9,912.16,,07-06-24,18-06-24
602,MIM1,RA1144,KALYANKJIL,246,407.49,450.7,,07-06-24,25-06-24
603,MIM1,RA1144,PRESTIGE,58,"1,730.00","1,834.90",,07-06-24,12-06-24
604,MIM1,RA1144,SUZLON,"2,008",49.85,48.87,,07-06-24,18-06-24
605,MIM1,RA1144,TORNTPOWER,68,"1,482.95","1,579.20",,07-06-24,12-06-24
